airport_name,iata_code,country_code,city,airport_type,latitude,longitude
Page Field,FMY,US,Fort Myers,medium_airport,26.58659935,-81.86329650879999
Northern Colorado Regional Airport,FNL,US,Loveland,medium_airport,40.44969,-105.011272
Bishop International Airport,FNT,US,Flint,medium_airport,42.969294,-83.743355
Fort Dodge Regional Airport,FOD,US,Fort Dodge,medium_airport,42.552624,-94.191237
Topeka Regional Airport,FOE,US,Topeka,medium_airport,38.950901,-95.663597
Treasure Coast International Airport,FPR,US,Fort Pierce,medium_airport,27.4951,-80.368301
Republic Airport,FRG,US,East Farmingdale,medium_airport,40.728576,-73.414267
Marshall Army Air Field,FRI,US,Fort Riley (Junction City),medium_airport,39.053021,-96.764202
Sioux Falls Regional Airport,FSD,US,Sioux Falls,medium_airport,43.585463,-96.741152
Henry Post Army Air Field,FSI,US,Fort Sill,medium_airport,34.649799,-98.402199
Fort Smith Regional Airport,FSM,US,Fort Smith,medium_airport,35.336601,-94.367401
Fort Stockton Pecos County Airport,FST,US,Fort Stockton,medium_airport,30.9157009125,-102.916000366
Godman Army Air Field,FTK,US,Fort Knox,medium_airport,37.9071006775,-85.9720993042
Fort Worth Meacham International Airport,FTW,US,Fort Worth,medium_airport,32.819919,-97.360818
Fulton County Airport Brown Field,FTY,US,Atlanta,medium_airport,33.7790985107,-84.5214004517
Fort Wayne International Airport,FWA,US,Fort Wayne,medium_airport,40.978896,-85.194465
Fort Lauderdale Executive Airport,FXE,US,Fort Lauderdale,medium_airport,26.1972999573,-80.1707000732
Drake Field,FYV,US,Fayetteville,medium_airport,36.00510025024414,-94.17009735107422
Northeast Wyoming Regional Airport,GCC,US,Gillette,medium_airport,44.3489,-105.539001
Garden City Regional Airport,GCK,US,Garden City,medium_airport,37.9275016785,-100.723999023
Grand Canyon National Park Airport,GCN,US,Grand Canyon - Tusayan,medium_airport,35.9524,-112.147003
Dawson Community Airport,GDV,US,Glendive,medium_airport,47.137658,-104.80691
Spokane International Airport,GEG,US,Spokane,large_airport,47.6199,-117.533997
Grand Forks International Airport,GFK,US,Grand Forks,medium_airport,47.949299,-97.176102
Floyd Bennett Memorial Airport,GFL,US,Glens Falls,medium_airport,43.3412017822,-73.6102981567
East Texas Regional Airport,GGG,US,Longview,medium_airport,32.38399887084961,-94.71150207519533
Glasgow Valley County Airport Wokal Field,GGW,US,Glasgow,medium_airport,48.212502,-106.614998
Grand Junction Regional Airport,GJT,US,Grand Junction,medium_airport,39.126663,-108.529387
Goodland Municipal Airport,GLD,US,Goodland,medium_airport,39.370701,-101.699753
